policy,tc_bps,cum_ret,sortino,sharpe,max_dd,total_turnover,approx_fees,window
Random,0,0.9663567573141136,1.0363933227916897,0.9112088106239838,-0.3627460175716396,124.99999952316284,0.0,eval≤2025
HoldCash,0,0.0,,0.0,0.0,0.0,0.0,eval≤2025
HoldAsset0,0,0.31862018002971837,0.27498327594137995,0.21760158251668196,-0.652821313407377,2.0,0.0,eval≤2025
EqualWeight,0,1.0797844827725895,1.0320981109207918,0.8355039283380513,-0.43290730322044857,2.0,0.0,eval≤2025
SMA,0,0.9697688032280374,0.911891883192245,0.887978322263025,-0.39982918573407467,98.0,0.0,eval≤2025
Random,10,0.7352056923726309,0.8184451000107696,0.7185645968726007,-0.39702019165307223,124.99999952316284,1249.9999952316284,eval≤2025
HoldCash,10,0.0,,0.0,0.0,0.0,0.0,eval≤2025
HoldAsset0,10,0.31597304344767974,0.27284526911633916,0.2159073917748653,-0.6528213134073769,2.0,20.0,eval≤2025
EqualWeight,10,1.075607689517975,1.02870107276223,0.832750674191334,-0.43290730322044757,2.0,20.0,eval≤2025
SMA,10,0.7857929247958622,0.7618971927076876,0.7400939962214867,-0.41406890739279,98.0,980.0,eval≤2025
Random,25,0.43788962862460457,0.5136431301208868,0.4504486297999365,-0.45236294089741275,124.99999952316284,3124.9999880790715,eval≤2025
HoldCash,25,0.0,,0.0,0.0,0.0,0.0,eval≤2025
HoldAsset0,25,0.31200233857466,0.26962707745126546,0.21336125534302383,-0.652821313407375,2.0,50.0,eval≤2025
EqualWeight,25,1.0693424996360816,1.023555336369209,0.8286047219094986,-0.4329073032204485,2.0,50.0,eval≤2025
SMA,25,0.5409716765083108,0.5470290056597279,0.5305180606870221,-0.43484858117328706,98.0,2450.0,eval≤2025
DQN_seed0,0,0.8147477460827388,0.7612632793794403,0.6707611212553315,-0.4795305718448894,96.33333337306976,0.0,eval≤2025
DQN_seed0,10,0.6480060184069532,0.6231226936853556,0.548239804276799,-0.48437100079553846,96.33333337306976,963.3333337306976,eval≤2025
DQN_seed0,25,0.4257524828576902,0.42633943102115,0.3746710231226895,-0.49348227208546686,96.33333337306976,2408.333334326744,eval≤2025
DQN_seed1,0,0.3708200506976551,0.506298629185257,0.5592254241110971,-0.3443172599607304,84.99999958276749,0.0,eval≤2025
DQN_seed1,10,0.2590418380524051,0.36271930771349675,0.39950198706293666,-0.35461525914361564,84.99999958276749,849.999995827675,eval≤2025
DQN_seed1,25,0.10796330477304483,0.15625135828345119,0.1718380640445805,-0.3724923905498489,84.99999958276749,2124.999989569187,eval≤2025
